source_id,publisher,official_page_url,raw_file,reference_year,programme_scope,indicator,value,unit,geographic_coverage,sha256,retrieval_date,processing_status
GD_EDU_2025_PRESCHOOL_FUND_ALLOCATION,Guangdong Provincial Department of Education,https://edu.gd.gov.cn/gkmlpt/content/4/4893/post_4893467.html,official_2025_preschool_development_fund_self_evaluation.pdf,2025,central_support_for_preschool_education_development_transfer_payment,programme_funding,169887,10000_yuan,20_prefecture_level_cities,A86048EB8AED689B2491BA339F7F2462A3B2DF6A5E7DF3E200D167BAF0FBF73B,2026-07-28,raw_archived_policy_simulation_candidate_pending_independent_review
GD_EDU_2025_PRESCHOOL_FUND_EXPENDITURE,Guangdong Provincial Department of Education,https://edu.gd.gov.cn/gkmlpt/content/4/4893/post_4893467.html,official_2025_preschool_development_fund_self_evaluation.pdf,2025,central_support_for_preschool_education_development_transfer_payment,programme_expenditure_by_end_2025,158958.86,10000_yuan,20_prefecture_level_cities,A86048EB8AED689B2491BA339F7F2462A3B2DF6A5E7DF3E200D167BAF0FBF73B,2026-07-28,raw_archived_policy_simulation_candidate_pending_independent_review
GD_EDU_2025_PRESCHOOL_FUND_EXECUTION_RATE,Guangdong Provincial Department of Education,https://edu.gd.gov.cn/gkmlpt/content/4/4893/post_4893467.html,official_2025_preschool_development_fund_self_evaluation.pdf,2025,central_support_for_preschool_education_development_transfer_payment,programme_execution_rate,93.57,percent,20_prefecture_level_cities,A86048EB8AED689B2491BA339F7F2462A3B2DF6A5E7DF3E200D167BAF0FBF73B,2026-07-28,raw_archived_policy_simulation_candidate_pending_independent_review
