source_id,reference_year,filename,publisher,retrieval_date,geographic_level,format,original_url,sha256,intended_use
MOE_EDU_STAT_2025,2025,MOE_EDU_STAT_2025.html,Ministry of Education of the People's Republic of China,2026-07-28,national,HTML,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html,6099E7B559906218226ED9F07A217C2020009E6F433E7B9F68F9712CE751F47F,"national trends, variable definitions, and cross-source checks only"
MOE_EDU_STAT_2024,2024,MOE_EDU_STAT_2024.html,Ministry of Education of the People's Republic of China,2026-07-28,national,HTML,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202506/t20250611_1193760.html,112BD21096CAB401E38C4ECAF7D5A0914871155D8F198C1F6B661FD4B9B2A454,"national trends, variable definitions, and cross-source checks only"
MOE_EDU_STAT_2023,2023,MOE_EDU_STAT_2023.html,Ministry of Education of the People's Republic of China,2026-07-28,national,HTML,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202410/t20241024_1159002.html,975A678F58F24A51A1DBB376F220215A79F99483A75836447E2B461DF7C4328A,"national trends, variable definitions, and cross-source checks only"
MOE_EDU_STAT_2022,2022,MOE_EDU_STAT_2022.html,Ministry of Education of the People's Republic of China,2026-07-28,national,HTML,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202307/t20230705_1067278.html,1756FB381DC2A2D7A683CCE4EEF13E4A48D73D00122E0A9BCCAC06C871D865AE,"national trends, variable definitions, and cross-source checks only"
MOE_EDU_STAT_2021,2021,MOE_EDU_STAT_2021.html,Ministry of Education of the People's Republic of China,2026-07-28,national,HTML,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202209/t20220914_660850.html,C5D91CDB7BA65DCE7B8F7988DA547DF9DCE5E6440A461DD8B5EA3FDEC1C91340,"national trends, variable definitions, and cross-source checks only"
MOE_EDU_STAT_2020,2020,MOE_EDU_STAT_2020.html,Ministry of Education of the People's Republic of China,2026-07-28,national,HTML,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202108/t20210827_555004.html,52E8C624A2912C28C86AB8424D62218BC195162B790C6146D6D4D38FCB2ADCDC,"national trends, variable definitions, and cross-source checks only"
