source_id,publisher,official_page_url,raw_file,reference_year,programme_scope,indicator,value,unit,value_origin,sha256,retrieval_date,processing_status
GD_EDU_2022_PRESCHOOL_FUND_ALLOCATION,Guangdong Provincial Department of Education,https://edu.gd.gov.cn/gkmlpt/content/4/4232/post_4232754.html,official_2022_preschool_development_fund_self_evaluation.pdf,2022,central_support_for_preschool_education_development_transfer_payment,programme_funding,21000,10000_yuan,visible_source_value,05FE0B8AE98EAD2D47AEBA5BCDBCC8B01A9CA0DEC7B23C179DE59BD45A15A6E7,2026-07-28,raw_archived_policy_simulation_candidate_pending_independent_review
GD_EDU_2022_PRESCHOOL_FUND_EXPENDITURE,Guangdong Provincial Department of Education,https://edu.gd.gov.cn/gkmlpt/content/4/4232/post_4232754.html,official_2022_preschool_development_fund_self_evaluation.pdf,2022,central_support_for_preschool_education_development_transfer_payment,programme_expenditure_by_end_2022,10725.63,10000_yuan,visible_source_value,05FE0B8AE98EAD2D47AEBA5BCDBCC8B01A9CA0DEC7B23C179DE59BD45A15A6E7,2026-07-28,raw_archived_policy_simulation_candidate_pending_independent_review
GD_EDU_2022_PRESCHOOL_FUND_EXECUTION_RATE,Guangdong Provincial Department of Education,https://edu.gd.gov.cn/gkmlpt/content/4/4232/post_4232754.html,official_2022_preschool_development_fund_self_evaluation.pdf,2022,central_support_for_preschool_education_development_transfer_payment,programme_execution_rate,51.07,percent,reported_source_value,05FE0B8AE98EAD2D47AEBA5BCDBCC8B01A9CA0DEC7B23C179DE59BD45A15A6E7,2026-07-28,raw_archived_policy_simulation_candidate_pending_independent_review
