source_id,reference_year,filename,publisher,retrieval_date,geographic_level,format,original_url,sha256,source_table,intended_use
SICHUAN_2025_C2001,2024,C2001_school_counts.jpg,Sichuan Provincial Bureau of Statistics,2026-07-28,provincial,JPG,https://tjj.sc.gov.cn/scstjj/tjnjnew/2025/zk/html/20-01.jpg,F2DD08B3DD737BF82EC6402C31283AC50AE51E8BAB94E6742D48B728838CEEFE,"Table 20-1 Number of Schools by Type","Official raw table; kindergarten counts for documented staging only"
SICHUAN_2025_C2002,2024,C2002_full_time_teachers.jpg,Sichuan Provincial Bureau of Statistics,2026-07-28,provincial,JPG,https://tjj.sc.gov.cn/scstjj/tjnjnew/2025/zk/html/20-02.jpg,931F87BD4FCC0E3A148A79BAD46C950DA751F99C62DA26E77983C1C637974968,"Table 20-2 Number of Full-Time Teachers of Schools by Type","Official raw table; kindergarten full-time teachers for documented staging only"
SICHUAN_2025_C2003,2024,C2003_student_counts.jpg,Sichuan Provincial Bureau of Statistics,2026-07-28,provincial,JPG,https://tjj.sc.gov.cn/scstjj/tjnjnew/2025/zk/html/20-03.jpg,67C94CF626643CF87C8B21D97B07F1BC021CA50ADF1A68B407DEAC5E081056A7,"Table 20-3 Number of Enrollments of Formal Education by Type","Official raw table; kindergarten enrolment for documented staging only"
SICHUAN_2025_C2019,2024,C2019_city_kindergartens_2024.jpg,Sichuan Provincial Bureau of Statistics,2026-07-28,prefecture,JPG,https://tjj.sc.gov.cn/scstjj/tjnjnew/2025/zk/html/20-19.jpg,78CD321749580CBF4F42129A6143183B40AE730381B2503EDB42C621D99D0D6A,"Table 20-19 Kindergarten conditions by city/prefecture, 2024","Retained as contextual disaggregated evidence; not aggregated to provincial panel"
