region,reference_year,kindergartens,children_reported_count,teaching_staff_count,full_time_teacher_count,source_id,source_table,source_unit,unit_conversion,entry_method,verification_status,quality_flag
Shanghai,2020,1678,571500,80800,44000,SHANGHAI_2025_C2017,"20.17 Kindergarten Basic Conditions in Selected Years","children/staff/teachers reported in ten-thousand persons","multiplied reported values by 10000",manual_visible_transcription,requires_second_review,none
Shanghai,2023,1692,484100,83800,45800,SHANGHAI_2025_C2017,"20.17 Kindergarten Basic Conditions in Selected Years","children/staff/teachers reported in ten-thousand persons","multiplied reported values by 10000",manual_visible_transcription,requires_second_review,none
Shanghai,2024,1624,448400,80800,43400,SHANGHAI_2025_C2017,"20.17 Kindergarten Basic Conditions in Selected Years","children/staff/teachers reported in ten-thousand persons","multiplied reported values by 10000",manual_visible_transcription,requires_second_review,none
