region,reference_year,kindergartens,enrolled_children,teaching_staff_count,full_time_teacher_count,source_id,source_table,source_unit,unit_conversion,entry_method,verification_status,quality_flag
Guangdong,2015,16368,4022800,436200,240700,GUANGDONG_2025_YEARBOOK,"19-3 Continued: Kindergartens","children/staff/teachers reported in ten-thousand persons","multiplied reported values by 10000",official_html_table_transcription,verified_against_archive_excel,none
Guangdong,2022,21566,4980500,667800,351000,GUANGDONG_2025_YEARBOOK,"19-3 Continued: Kindergartens","children/staff/teachers reported in ten-thousand persons","multiplied reported values by 10000",official_html_table_transcription,verified_against_archive_excel,none
Guangdong,2023,21662,4586200,651500,337000,GUANGDONG_2025_YEARBOOK,"19-3 Continued: Kindergartens","children/staff/teachers reported in ten-thousand persons","multiplied reported values by 10000",official_html_table_transcription,verified_against_archive_excel,none
Guangdong,2024,21247,4139700,614500,314000,GUANGDONG_2025_YEARBOOK,"19-3 Continued: Kindergartens","children/staff/teachers reported in ten-thousand persons","multiplied reported values by 10000",official_html_table_transcription,verified_against_archive_excel,none
