reference_year,scope_label,budget_total_10k_yuan,expansion_and_quality_subsidy_10k_yuan,tuition_and_care_fee_reduction_subsidy_10k_yuan,advanced_allocation_10k_yuan,current_allocation_10k_yuan,source_id,entry_method,verification_status,policy_simulation_eligibility,quality_flag
2026,Beijing,45124,6507,38617,26285,18839,NATIONAL_2026_PRESCHOOL_DEVELOPMENT_FUND_BUDGET,manual_read_only_excel_transcription,requires_second_review,scenario_parameter_candidate,none
2026,Shanghai,22791,7368,15423,14654,8137,NATIONAL_2026_PRESCHOOL_DEVELOPMENT_FUND_BUDGET,manual_read_only_excel_transcription,requires_second_review,scenario_parameter_candidate,none
2026,Guangdong_excluding_Shenzhen,378016,20599,357417,167825,210191,NATIONAL_2026_PRESCHOOL_DEVELOPMENT_FUND_BUDGET,manual_read_only_excel_transcription,requires_second_review,not_comparable_to_guangdong_provincial_resource_series_without_documented_harmonization,geographic_scope_mismatch_review
2026,Shenzhen,53787,6419,47368,27929,25858,NATIONAL_2026_PRESCHOOL_DEVELOPMENT_FUND_BUDGET,manual_read_only_excel_transcription,requires_second_review,scenario_parameter_candidate_for_separate_shenzhen_scope,none
2026,Sichuan,303458,154780,148678,216419,87039,NATIONAL_2026_PRESCHOOL_DEVELOPMENT_FUND_BUDGET,manual_read_only_excel_transcription,requires_second_review,scenario_parameter_candidate,none
2026,Gansu,129304,90870,38434,102556,26748,NATIONAL_2026_PRESCHOOL_DEVELOPMENT_FUND_BUDGET,manual_read_only_excel_transcription,requires_second_review,scenario_parameter_candidate,none
