region,reference_year,resident_population_age_0_14_10k_persons,total_education_expenditure_10k_yuan,national_financial_education_expenditure_10k_yuan,general_public_budget_education_expenditure_10k_yuan,population_source_id,finance_source_id,entry_method,verification_status,quality_flag,prai_input_eligibility
Beijing,2015,234.7,11171250,9810774,8474342,BEIJING_2025_C0303,BEIJING_2025_C2016,manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_specific_mapping
Beijing,2016,243.8,11934724,10491718,8822890,BEIJING_2025_C0303,BEIJING_2025_C2016,manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_specific_mapping
Beijing,2017,249.1,12512746,10863394,9557007,BEIJING_2025_C0303,BEIJING_2025_C2016,manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_specific_mapping
Beijing,2018,252.0,13525400,11661674,10207229,BEIJING_2025_C0303,BEIJING_2025_C2016,manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_specific_mapping
Beijing,2019,253.4,14794780,12791460,11253649,BEIJING_2025_C0303,BEIJING_2025_C2016,manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_specific_mapping
Beijing,2020,259.1,15085043,13130881,11279953,BEIJING_2025_C0303,BEIJING_2025_C2016,manual_visual_transcription,requires_second_review,population_series_method_boundary_review,not_eligible_without_preschool_specific_mapping
Beijing,2021,264.7,15325981,13130243,11351611,BEIJING_2025_C0303,BEIJING_2025_C2016,manual_visual_transcription,requires_second_review,population_series_method_boundary_review,not_eligible_without_preschool_specific_mapping
Beijing,2022,264.0,15854348,13736713,11609960,BEIJING_2025_C0303,BEIJING_2025_C2016,manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_specific_mapping
Beijing,2023,262.5,16887033,14443491,11999421,BEIJING_2025_C0303,BEIJING_2025_C2016,manual_visual_transcription,requires_second_review,none,not_eligible_without_preschool_specific_mapping
