province,year,programme_name,programme_funding_10000_yuan,programme_expenditure_by_end_of_year_10000_yuan,execution_rate_pct,execution_rate_origin,geographic_coverage,source_review_id,source_review_decision,analytical_use,data_status,notes
Guangdong,2022,central_support_for_preschool_education_development_transfer_payment,21000,10725.63,51.07,reported_source_value,not_reported_in_reviewed_source,GD_EDU_2022_PRESCHOOL_FUND_ALLOCATION;GD_EDU_2022_PRESCHOOL_FUND_EXPENDITURE;GD_EDU_2022_PRESCHOOL_FUND_EXECUTION_RATE,confirmed_policy_simulation_candidate,policy_simulation_parameter_candidate,staging_pending_independent_review,Programme-level central transfer payment; not total provincial preschool public expenditure.
Guangdong,2024,central_support_for_preschool_education_development_transfer_payment,22430,11786.21,52.55,calculated_from_reviewed_source_values,20_prefecture_level_cities,GD_EDU_2024_PRESCHOOL_FUND_ALLOCATION;GD_EDU_2024_PRESCHOOL_FUND_EXPENDITURE;GD_EDU_2024_PRESCHOOL_FUND_EXECUTION_RATE,confirmed_policy_simulation_candidate,policy_simulation_parameter_candidate,staging_pending_independent_review,Execution rate equals expenditure divided by programme funding and is not directly reported in the source.
Guangdong,2025,central_support_for_preschool_education_development_transfer_payment,169887,158958.86,93.57,reported_source_value,20_prefecture_level_cities,GD_EDU_2025_PRESCHOOL_FUND_ALLOCATION;GD_EDU_2025_PRESCHOOL_FUND_EXPENDITURE;GD_EDU_2025_PRESCHOOL_FUND_EXECUTION_RATE,confirmed_policy_simulation_candidate,policy_simulation_parameter_candidate,staging_pending_independent_review,Programme-level central transfer payment; not total provincial preschool public expenditure.
