source_id,publisher,official_page_url,raw_file,reference_year,programme_scope,indicator,value,unit,geographic_coverage,value_origin,sha256,retrieval_date,processing_status
GD_EDU_2024_PRESCHOOL_FUND_ALLOCATION,Guangdong Provincial Department of Education,https://edu.gd.gov.cn/gkmlpt/content/4/4700/post_4700799.html,official_2024_preschool_development_fund_self_evaluation.pdf,2024,central_support_for_preschool_education_development_transfer_payment,programme_funding,22430,10000_yuan,20_prefecture_level_cities,visible_source_value,3189D1AF9CBDF3BF6E24983E3F39224E49958DD61DE232D94DA72C0224CAE41E,2026-07-28,raw_archived_policy_simulation_candidate_pending_independent_review
GD_EDU_2024_PRESCHOOL_FUND_EXPENDITURE,Guangdong Provincial Department of Education,https://edu.gd.gov.cn/gkmlpt/content/4/4700/post_4700799.html,official_2024_preschool_development_fund_self_evaluation.pdf,2024,central_support_for_preschool_education_development_transfer_payment,programme_expenditure_by_end_2024,11786.21,10000_yuan,20_prefecture_level_cities,visible_source_value,3189D1AF9CBDF3BF6E24983E3F39224E49958DD61DE232D94DA72C0224CAE41E,2026-07-28,raw_archived_policy_simulation_candidate_pending_independent_review
GD_EDU_2024_PRESCHOOL_FUND_EXECUTION_RATE,Guangdong Provincial Department of Education,https://edu.gd.gov.cn/gkmlpt/content/4/4700/post_4700799.html,official_2024_preschool_development_fund_self_evaluation.pdf,2024,central_support_for_preschool_education_development_transfer_payment,programme_execution_rate,52.55,percent,20_prefecture_level_cities,calculated_from_visible_source_values,3189D1AF9CBDF3BF6E24983E3F39224E49958DD61DE232D94DA72C0224CAE41E,2026-07-28,raw_archived_policy_simulation_candidate_pending_independent_review
