source_id,publisher,document_title,document_number,document_date,official_page_url,attachment_file,attachment_scope,unit,verified_total,sha256,retrieval_date,processing_status
GD_FIN_2023_PRESCHOOL_FUND_ALLOC,Guangdong Provincial Department of Finance,Notice on Supplementary Allocation of 2023 Central Support Funds for Preschool Education Development,粤财科教〔2023〕59号,2023-06-02,https://czt.gd.gov.cn/tzgg/content/post_4190959.html,official_attachment_1_allocation.xlsx,2023 supplementary central fund allocations to listed Guangdong local units,yuan,41000000.00,81EA7177DD5B1406D0E87269F4BB8D2C6E812FB80F5C3D61F3EFCBEA03C436AB,2026-07-28,raw_archived_policy_simulation_candidate_pending_independent_review
GD_FIN_2023_PRESCHOOL_FUND_PERFORMANCE,Guangdong Provincial Department of Finance,Notice on Supplementary Allocation of 2023 Central Support Funds for Preschool Education Development,粤财科教〔2023〕59号,2023-06-02,https://czt.gd.gov.cn/tzgg/content/post_4190959.html,official_attachment_2_performance.xls,2023 annual central transfer-payment performance target for Guangdong,10000_yuan,17430.0,00D54347D765E3B83AF212E076D3671E15CAF37CAA75926CC96946BCBFE9669F,2026-07-28,raw_archived_policy_simulation_candidate_pending_independent_review
